CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,325,2,0.0,2,New Customers
12347.0,1,182,4310.0,0,Loyal Customers
12348.0,74,31,1797.24,3,One-Time Big Spenders
12349.0,18,73,1757.55,0,Loyal Customers
12350.0,309,17,334.4,2,New Customers
12352.0,35,95,1545.41,0,Loyal Customers
12353.0,203,4,89.0,1,Dormant Customers
12354.0,231,58,1079.4,1,Dormant Customers
12355.0,213,13,459.4,1,Dormant Customers
12356.0,22,59,2811.43,0,Loyal Customers
12357.0,32,131,6207.67,0,Loyal Customers
12358.0,1,19,1168.06,0,Loyal Customers
12359.0,7,254,6245.53,0,Loyal Customers
12360.0,51,129,2662.06,3,One-Time Big Spenders
12361.0,286,10,189.9,2,New Customers
12362.0,2,274,5154.58,0,Loyal Customers
12363.0,109,23,552.0,3,One-Time Big Spenders
12364.0,7,85,1313.1,0,Loyal Customers
12365.0,290,23,320.69,2,New Customers
12367.0,3,11,168.9,0,Loyal Customers
12370.0,50,167,3545.69,3,One-Time Big Spenders
12371.0,44,63,1887.96,0,Loyal Customers
12372.0,71,52,1298.04,3,One-Time Big Spenders
12373.0,310,14,364.6,2,New Customers
12374.0,24,33,742.9300000000001,0,Loyal Customers
12375.0,2,18,455.42,0,Loyal Customers
12377.0,314,77,1628.12,2,New Customers
12378.0,129,219,4008.62,3,One-Time Big Spenders
12379.0,81,41,850.29,3,One-Time Big Spenders
12380.0,21,105,2720.56,0,Loyal Customers
12381.0,4,91,1803.96,0,Loyal Customers
12383.0,184,100,1839.31,1,Dormant Customers
12384.0,28,30,566.16,0,Loyal Customers
12386.0,337,10,401.9,2,New Customers
12388.0,15,100,2780.66,0,Loyal Customers
12390.0,79,32,549.84,3,One-Time Big Spenders
12391.0,21,100,460.89,0,Loyal Customers
12393.0,71,64,1582.6000000000001,3,One-Time Big Spenders
12394.0,63,27,1272.48,3,One-Time Big Spenders
12395.0,15,159,2998.28,0,Loyal Customers
12397.0,35,126,2409.9,0,Loyal Customers
12398.0,45,85,1635.6599999999999,0,Loyal Customers
12399.0,118,59,1108.65,3,One-Time Big Spenders
12401.0,302,5,84.3,2,New Customers
12402.0,322,11,225.6,2,New Customers
12403.0,49,6,409.7,3,One-Time Big Spenders
12405.0,148,54,1710.39,1,Dormant Customers
12406.0,21,108,3280.75,0,Loyal Customers
12407.0,49,77,1708.1200000000001,3,One-Time Big Spenders
12408.0,32,113,2842.57,0,Loyal Customers
12409.0,78,114,11056.93,3,One-Time Big Spenders
12410.0,300,28,681.0799999999999,2,New Customers
12412.0,74,61,1226.88,3,One-Time Big Spenders
12413.0,66,40,694.15,3,One-Time Big Spenders
12414.0,216,18,562.41,1,Dormant Customers
12415.0,23,778,123725.45,0,Loyal Customers
12417.0,2,198,3578.8,0,Loyal Customers
12418.0,112,34,668.58,3,One-Time Big Spenders
12420.0,63,29,600.39,3,One-Time Big Spenders
12421.0,15,46,806.27,0,Loyal Customers
12422.0,95,39,803.5600000000001,3,One-Time Big Spenders
12423.0,0,126,1849.11,0,Loyal Customers
12424.0,162,30,1760.96,1,Dormant Customers
12425.0,77,36,777.2,3,One-Time Big Spenders
12426.0,194,30,582.73,1,Dormant Customers
12427.0,11,35,708.37,0,Loyal Customers
12428.0,25,300,7877.2,0,Loyal Customers
12429.0,8,97,3750.4,0,Loyal Customers
12430.0,42,11,256.4,0,Loyal Customers
12431.0,35,240,6416.39,0,Loyal Customers
12432.0,42,108,5059.32,0,Loyal Customers
12433.0,0,420,13375.87,0,Loyal Customers
12434.0,84,54,765.19,3,One-Time Big Spenders
12435.0,79,36,7829.89,3,One-Time Big Spenders
12436.0,99,16,509.01,3,One-Time Big Spenders
12437.0,1,201,4896.66,0,Loyal Customers
12438.0,13,98,2906.85,0,Loyal Customers
12441.0,366,11,173.55,2,New Customers
12442.0,2,12,172.06,0,Loyal Customers
12444.0,20,177,5005.46,0,Loyal Customers
12445.0,21,4,133.4,0,Loyal Customers
12446.0,57,58,1002.3100000000001,3,One-Time Big Spenders
12447.0,242,26,476.49,1,Dormant Customers
12448.0,43,22,449.45,0,Loyal Customers
12449.0,21,191,4067.29,0,Loyal Customers
12450.0,155,8,197.88,1,Dormant Customers
12451.0,10,355,8933.52,0,Loyal Customers
12452.0,16,23,428.57,0,Loyal Customers
12453.0,133,43,707.09,1,Dormant Customers
12454.0,52,30,5.684341886080802e-14,3,One-Time Big Spenders
12455.0,72,90,2466.86,3,One-Time Big Spenders
12456.0,43,129,3153.89,0,Loyal Customers
12457.0,57,68,1917.78,3,One-Time Big Spenders
12458.0,70,38,947.4,3,One-Time Big Spenders
12461.0,93,35,826.88,3,One-Time Big Spenders
12462.0,1,72,1124.01,0,Loyal Customers
12463.0,45,88,1303.63,0,Loyal Customers
12464.0,9,29,1212.05,0,Loyal Customers
12465.0,7,51,733.89,0,Loyal Customers
12468.0,142,40,724.0400000000001,1,Dormant Customers
12471.0,1,531,18740.92,0,Loyal Customers
12472.0,30,391,6229.48,0,Loyal Customers
12473.0,28,179,2848.23,0,Loyal Customers
12474.0,16,457,7116.47,0,Loyal Customers
12475.0,53,36,723.38,3,One-Time Big Spenders
12476.0,0,264,6546.58,0,Loyal Customers
12477.0,22,308,13117.01,0,Loyal Customers
12478.0,3,36,680.99,0,Loyal Customers
12479.0,3,35,477.3,0,Loyal Customers
12480.0,27,154,3281.63,0,Loyal Customers
12481.0,22,218,5590.86,0,Loyal Customers
12483.0,16,81,2327.13,0,Loyal Customers
12484.0,32,350,4495.27,0,Loyal Customers
12488.0,9,55,1298.66,0,Loyal Customers
12489.0,335,15,334.93,2,New Customers
12490.0,4,245,5417.93,0,Loyal Customers
12491.0,38,26,460.40000000000003,0,Loyal Customers
12492.0,62,20,263.21000000000004,3,One-Time Big Spenders
12493.0,165,23,416.79,1,Dormant Customers
12494.0,9,84,1139.3500000000001,0,Loyal Customers
12497.0,81,14,1043.1,3,One-Time Big Spenders
12498.0,20,23,403.70000000000005,0,Loyal Customers
12500.0,22,65,4206.27,0,Loyal Customers
12501.0,314,160,2089.68,2,New Customers
12502.0,95,147,3723.87,3,One-Time Big Spenders
12503.0,337,1,-1126.0,2,New Customers
12504.0,17,15,114.0,0,Loyal Customers
12505.0,300,1,-4.5,2,New Customers
12506.0,232,23,73.5,1,Dormant Customers
12507.0,133,23,1258.06,1,Dormant Customers
12508.0,25,69,398.27,0,Loyal Customers
12509.0,283,7,176.5,2,New Customers
12510.0,142,33,982.5699999999999,1,Dormant Customers
12512.0,65,34,138.03,3,One-Time Big Spenders
12513.0,84,36,586.79,3,One-Time Big Spenders
12514.0,266,51,1017.68,2,New Customers
12515.0,352,16,383.7,2,New Customers
12516.0,77,26,1312.06,3,One-Time Big Spenders
12517.0,27,286,2464.89,0,Loyal Customers
12518.0,0,124,2056.89,0,Loyal Customers
12519.0,63,18,340.84,3,One-Time Big Spenders
12520.0,78,155,2582.51,3,One-Time Big Spenders
12521.0,142,38,599.68,1,Dormant Customers
12522.0,38,12,192.72,0,Loyal Customers
12523.0,1,110,1745.57,0,Loyal Customers
12524.0,8,144,4485.72,0,Loyal Customers
12526.0,0,71,1316.66,0,Loyal Customers
12527.0,81,18,348.71000000000004,3,One-Time Big Spenders
12528.0,8,95,1922.28,0,Loyal Customers
12530.0,59,68,1623.63,3,One-Time Big Spenders
12531.0,14,17,125.22,0,Loyal Customers
12532.0,29,16,349.83000000000004,0,Loyal Customers
12534.0,130,63,1089.18,3,One-Time Big Spenders
12535.0,91,34,716.35,3,One-Time Big Spenders
12536.0,7,273,4106.82,0,Loyal Customers
12538.0,28,21,363.95,0,Loyal Customers
12539.0,21,274,3852.5,0,Loyal Customers
12540.0,19,481,13309.039999999999,0,Loyal Customers
12541.0,29,52,981.18,0,Loyal Customers
12544.0,29,20,355.7,0,Loyal Customers
12545.0,74,50,1000.39,3,One-Time Big Spenders
12546.0,46,70,1141.5,0,Loyal Customers
12547.0,197,8,207.79999999999998,1,Dormant Customers
12548.0,165,5,95.19999999999999,1,Dormant Customers
12550.0,78,57,964.83,3,One-Time Big Spenders
12551.0,357,10,168.0,2,New Customers
12552.0,38,20,437.82,0,Loyal Customers
12553.0,7,196,3652.25,0,Loyal Customers
12556.0,49,121,603.71,3,One-Time Big Spenders
12557.0,15,33,11990.960000000001,0,Loyal Customers
12558.0,1,22,1.0658141036401503e-14,0,Loyal Customers
12559.0,310,22,536.21,2,New Customers
12560.0,4,111,2101.39,0,Loyal Customers
12561.0,302,16,238.85,2,New Customers
12562.0,7,168,3781.7400000000002,0,Loyal Customers
12564.0,260,21,456.9,2,New Customers
12565.0,281,10,131.17,2,New Customers
12566.0,72,20,346.7,3,One-Time Big Spenders
12567.0,22,463,9114.94,0,Loyal Customers
12569.0,1,191,4064.9900000000002,0,Loyal Customers
12571.0,39,34,519.61,0,Loyal Customers
12572.0,8,62,1004.72,0,Loyal Customers
12573.0,226,28,160.54000000000002,1,Dormant Customers
12574.0,315,11,218.45,2,New Customers
12576.0,35,89,1306.98,0,Loyal Customers
12577.0,34,148,595.4,0,Loyal Customers
12578.0,20,120,2753.36,0,Loyal Customers
12579.0,72,31,410.72,3,One-Time Big Spenders
12580.0,246,24,415.7,2,New Customers
12581.0,39,15,197.71,0,Loyal Customers
12582.0,238,22,511.36,1,Dormant Customers
12583.0,2,251,7187.34,0,Loyal Customers
12584.0,3,126,1893.95,0,Loyal Customers
12585.0,233,97,1982.81,1,Dormant Customers
12586.0,16,12,179.94000000000003,0,Loyal Customers
12587.0,7,4,144.0,0,Loyal Customers
12588.0,38,10,214.89999999999998,0,Loyal Customers
12589.0,28,35,646.68,0,Loyal Customers
